dataset_uid,dataset_id,gse_id,file_path,file_name,species,reference,group,usage_primary,usage_tags,sample_type,detail_source,condition,detailed_condition
GSE297529/GSM8994061_HC03,GSM8994061_HC03,GSE297529,GSE297529/GSM8994061_HC03.h5mu,GSM8994061_HC03.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,PBMC,Healthy/Control,Control
GSE297529/GSM8994062_PB01,GSM8994062_PB01,GSE297529,GSE297529/GSM8994062_PB01.h5mu,GSM8994062_PB01.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994063_PB02,GSM8994063_PB02,GSE297529,GSE297529/GSM8994063_PB02.h5mu,GSM8994063_PB02.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994064_PB03,GSM8994064_PB03,GSE297529,GSE297529/GSM8994064_PB03.h5mu,GSM8994064_PB03.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994065_PB04,GSM8994065_PB04,GSE297529,GSE297529/GSM8994065_PB04.h5mu,GSM8994065_PB04.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994066_PB05,GSM8994066_PB05,GSE297529,GSE297529/GSM8994066_PB05.h5mu,GSM8994066_PB05.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994067_PB06,GSM8994067_PB06,GSE297529,GSE297529/GSM8994067_PB06.h5mu,GSM8994067_PB06.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994069_PB08,GSM8994069_PB08,GSE297529,GSE297529/GSM8994069_PB08.h5mu,GSM8994069_PB08.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994070_PB09,GSM8994070_PB09,GSE297529,GSE297529/GSM8994070_PB09.h5mu,GSM8994070_PB09.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994071_PB10,GSM8994071_PB10,GSE297529,GSE297529/GSM8994071_PB10.h5mu,GSM8994071_PB10.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994072_PB11,GSM8994072_PB11,GSE297529,GSE297529/GSM8994072_PB11.h5mu,GSM8994072_PB11.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994073_PB12,GSM8994073_PB12,GSE297529,GSE297529/GSM8994073_PB12.h5mu,GSM8994073_PB12.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994074_PB13,GSM8994074_PB13,GSE297529,GSE297529/GSM8994074_PB13.h5mu,GSM8994074_PB13.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE297529/GSM8994075_PB14,GSM8994075_PB14,GSE297529,GSE297529/GSM8994075_PB14.h5mu,GSM8994075_PB14.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model,Tissue,PBMC,Natural Disease,COVID-19
GSE299801/GSM9046296_subject_5,GSM9046296_subject_5,GSE299801,GSE299801/GSM9046296_subject_5.h5mu,GSM9046296_subject_5.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;perturbation,Tissue,PBMC,Induced Model,HPV Vaccine Response
GSE299801/GSM9046298_subject_6,GSM9046298_subject_6,GSE299801,GSE299801/GSM9046298_subject_6.h5mu,GSM9046298_subject_6.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;perturbation,Tissue,PBMC,Induced Model,HPV Vaccine Response
GSE299801/GSM9046300_subject_7,GSM9046300_subject_7,GSE299801,GSE299801/GSM9046300_subject_7.h5mu,GSM9046300_subject_7.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;perturbation,Tissue,PBMC,Induced Model,HPV Vaccine Response
GSE299801/GSM9046302_subject_8,GSM9046302_subject_8,GSE299801,GSE299801/GSM9046302_subject_8.h5mu,GSM9046302_subject_8.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;perturbation,Tissue,PBMC,Induced Model,HPV Vaccine Response
GSE299801/GSM9046304_subject_9,GSM9046304_subject_9,GSE299801,GSE299801/GSM9046304_subject_9.h5mu,GSM9046304_subject_9.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;perturbation,Tissue,PBMC,Induced Model,HPV Vaccine Response
GSE299801/GSM9046306_subject_10,GSM9046306_subject_10,GSE299801,GSE299801/GSM9046306_subject_10.h5mu,GSM9046306_subject_10.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;perturbation,Tissue,PBMC,Induced Model,HPV Vaccine Response
GSE299801/GSM9046308_subject_13,GSM9046308_subject_13,GSE299801,GSE299801/GSM9046308_subject_13.h5mu,GSM9046308_subject_13.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;perturbation,Tissue,PBMC,Induced Model,HPV Vaccine Response
GSE299801/GSM9046310_subject_14,GSM9046310_subject_14,GSE299801,GSE299801/GSM9046310_subject_14.h5mu,GSM9046310_subject_14.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;perturbation,Tissue,PBMC,Induced Model,HPV Vaccine Response
GSE302266/GSM9100653_Day7_filtered_feature_bc_matrix,GSM9100653_Day7_filtered_feature_bc_matrix,GSE302266,GSE302266/GSM9100653_Day7_filtered_feature_bc_matrix.h5mu,GSM9100653_Day7_filtered_feature_bc_matrix.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;cell_line;organoid_or_differentiation_model,Cell Line,Kidney Organoid (Cell Line),Induced Model,Day 7
GSE302266/GSM9100655_Day12_filtered_feature_bc_matrix,GSM9100655_Day12_filtered_feature_bc_matrix,GSE302266,GSE302266/GSM9100655_Day12_filtered_feature_bc_matrix.h5mu,GSM9100655_Day12_filtered_feature_bc_matrix.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;cell_line;organoid_or_differentiation_model,Cell Line,Kidney Organoid (Cell Line),Induced Model,Day 12
GSE302266/GSM9100657_Day19_filtered_feature_bc_matrix,GSM9100657_Day19_filtered_feature_bc_matrix,GSE302266,GSE302266/GSM9100657_Day19_filtered_feature_bc_matrix.h5mu,GSM9100657_Day19_filtered_feature_bc_matrix.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;cell_line;organoid_or_differentiation_model,Cell Line,Kidney Organoid (Cell Line),Induced Model,Day 19
GSE302266/GSM9100659_Day25_filtered_feature_bc_matrix,GSM9100659_Day25_filtered_feature_bc_matrix,GSE302266,GSE302266/GSM9100659_Day25_filtered_feature_bc_matrix.h5mu,GSM9100659_Day25_filtered_feature_bc_matrix.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;induced_model;cell_line;organoid_or_differentiation_model,Cell Line,Kidney Organoid (Cell Line),Induced Model,Day 25
GSE302350/GSM9102443_19235RX1,GSM9102443_19235RX1,GSE302350,GSE302350/GSM9102443_19235RX1.h5mu,GSM9102443_19235RX1.h5mu,Homo Sapiens,None,model_training,model_training,model_training;control;cell_line;organoid_or_differentiation_model;perturbation;perturbation_control,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
GSE302350/GSM9102444_19235RX2,GSM9102444_19235RX2,GSE302350,GSE302350/GSM9102444_19235RX2.h5mu,GSM9102444_19235RX2.h5mu,Homo Sapiens,None,model_training,model_training,model_training;control;cell_line;organoid_or_differentiation_model;perturbation;perturbation_control,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
GSE302350/GSM9102445_19235RX3,GSM9102445_19235RX3,GSE302350,GSE302350/GSM9102445_19235RX3.h5mu,GSM9102445_19235RX3.h5mu,Homo Sapiens,None,model_training,model_training,model_training;induced_model;cell_line;organoid_or_differentiation_model;perturbation,Cell Line,Cerebral Organoid (Cell Line),Induced Model,KMT2D KO
GSE302350/GSM9102446_19235RX4,GSM9102446_19235RX4,GSE302350,GSE302350/GSM9102446_19235RX4.h5mu,GSM9102446_19235RX4.h5mu,Homo Sapiens,None,model_training,model_training,model_training;induced_model;cell_line;organoid_or_differentiation_model;perturbation,Cell Line,Cerebral Organoid (Cell Line),Induced Model,KMT2D KO
GSE302350/GSM9102447_19311RX1,GSM9102447_19311RX1,GSE302350,GSE302350/GSM9102447_19311RX1.h5mu,GSM9102447_19311RX1.h5mu,Homo Sapiens,None,model_training,model_training,model_training;control;cell_line;organoid_or_differentiation_model;perturbation;perturbation_control,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
GSE302350/GSM9102448_19311RX2,GSM9102448_19311RX2,GSE302350,GSE302350/GSM9102448_19311RX2.h5mu,GSM9102448_19311RX2.h5mu,Homo Sapiens,None,model_training,model_training,model_training;control;cell_line;organoid_or_differentiation_model;perturbation;perturbation_control,Cell Line,Cerebral Organoid (Cell Line),Healthy/Control,Control
GSE302350/GSM9102449_19311RX3,GSM9102449_19311RX3,GSE302350,GSE302350/GSM9102449_19311RX3.h5mu,GSM9102449_19311RX3.h5mu,Homo Sapiens,None,model_training,model_training,model_training;induced_model;cell_line;organoid_or_differentiation_model;perturbation,Cell Line,Cerebral Organoid (Cell Line),Induced Model,KMT2D KO
GSE302350/GSM9102450_19311RX4,GSM9102450_19311RX4,GSE302350,GSE302350/GSM9102450_19311RX4.h5mu,GSM9102450_19311RX4.h5mu,Homo Sapiens,None,model_training,model_training,model_training;induced_model;cell_line;organoid_or_differentiation_model;perturbation,Cell Line,Cerebral Organoid (Cell Line),Induced Model,KMT2D KO
GSE307240/GSM9219737_PDX_OS107,GSM9219737_PDX_OS107,GSE307240,GSE307240/GSM9219737_PDX_OS107.h5mu,GSM9219737_PDX_OS107.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Osteosarcoma PDX,Natural Disease,Osteosarcoma PDX
GSE307240/GSM9219739_PDX_OS526,GSM9219739_PDX_OS526,GSE307240,GSE307240/GSM9219739_PDX_OS526.h5mu,GSM9219739_PDX_OS526.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Osteosarcoma PDX,Natural Disease,Osteosarcoma PDX
GSE307240/GSM9219741_PDX_OS774,GSM9219741_PDX_OS774,GSE307240,GSE307240/GSM9219741_PDX_OS774.h5mu,GSM9219741_PDX_OS774.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Osteosarcoma PDX,Natural Disease,Osteosarcoma PDX
GSE307240/GSM9219743_PDX_OS833,GSM9219743_PDX_OS833,GSE307240,GSE307240/GSM9219743_PDX_OS833.h5mu,GSM9219743_PDX_OS833.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Osteosarcoma PDX,Natural Disease,Osteosarcoma PDX
GSE307240/GSM9219745_PDX_384_atac,GSM9219745_PDX_384_atac,GSE307240,GSE307240/GSM9219745_PDX_384_atac.h5mu,GSM9219745_PDX_384_atac.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Osteosarcoma PDX,Natural Disease,Osteosarcoma PDX
GSE309268/GSM9264129_UPN2855P,GSM9264129_UPN2855P,GSE309268,GSE309268/GSM9264129_UPN2855P.h5mu,GSM9264129_UPN2855P.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Neuroblastoma Tumor,Natural Disease,Primary Tumor
GSE309268/GSM9264131_UPN3651P,GSM9264131_UPN3651P,GSE309268,GSE309268/GSM9264131_UPN3651P.h5mu,GSM9264131_UPN3651P.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Neuroblastoma Tumor,Natural Disease,Primary Tumor
GSE309268/GSM9264133_UPN3031P,GSM9264133_UPN3031P,GSE309268,GSE309268/GSM9264133_UPN3031P.h5mu,GSM9264133_UPN3031P.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Neuroblastoma Tumor,Natural Disease,Primary Tumor
GSE309268/GSM9264135_UPN2045P,GSM9264135_UPN2045P,GSE309268,GSE309268/GSM9264135_UPN2045P.h5mu,GSM9264135_UPN2045P.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Neuroblastoma Tumor,Natural Disease,Primary Tumor
GSE309268/GSM9264137_UPN200M,GSM9264137_UPN200M,GSE309268,GSE309268/GSM9264137_UPN200M.h5mu,GSM9264137_UPN200M.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Neuroblastoma Tumor,Natural Disease,Metastasis
GSE309268/GSM9264139_UPN3284M,GSM9264139_UPN3284M,GSE309268,GSE309268/GSM9264139_UPN3284M.h5mu,GSM9264139_UPN3284M.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Neuroblastoma Tumor,Natural Disease,Metastasis
GSE309268/GSM9264141_UPN2099M,GSM9264141_UPN2099M,GSE309268,GSE309268/GSM9264141_UPN2099M.h5mu,GSM9264141_UPN2099M.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Neuroblastoma Tumor,Natural Disease,Metastasis
GSE309268/GSM9264143_UPN2792M,GSM9264143_UPN2792M,GSE309268,GSE309268/GSM9264143_UPN2792M.h5mu,GSM9264143_UPN2792M.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Neuroblastoma Tumor,Natural Disease,Metastasis
GSE309268/GSM9264145_UPN200P,GSM9264145_UPN200P,GSE309268,GSE309268/GSM9264145_UPN200P.h5mu,GSM9264145_UPN200P.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Neuroblastoma Tumor,Natural Disease,Primary Tumor
GSE309268/GSM9264146_UPN3284P,GSM9264146_UPN3284P,GSE309268,GSE309268/GSM9264146_UPN3284P.h5mu,GSM9264146_UPN3284P.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Neuroblastoma Tumor,Natural Disease,Primary Tumor
GSE309268/GSM9264147_UPN1177M,GSM9264147_UPN1177M,GSE309268,GSE309268/GSM9264147_UPN1177M.h5mu,GSM9264147_UPN1177M.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;disease_model;cancer,Tissue,Neuroblastoma Tumor,Natural Disease,Metastasis
GSE311423/GSM9324874_LI004_gex,GSM9324874_LI004_gex,GSE311423,GSE311423/GSM9324874_LI004_gex.h5mu,GSM9324874_LI004_gex.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Spleen,Healthy/Control,Control
GSE311423/GSM9324876_LI018_gex,GSM9324876_LI018_gex,GSE311423,GSE311423/GSM9324876_LI018_gex.h5mu,GSM9324876_LI018_gex.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Spleen,Healthy/Control,Control
GSE311423/GSM9324878_HDL163_gex,GSM9324878_HDL163_gex,GSE311423,GSE311423/GSM9324878_HDL163_gex.h5mu,GSM9324878_HDL163_gex.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Spleen,Healthy/Control,Control
GSE311423/GSM9324880_PDC142_gex,GSM9324880_PDC142_gex,GSE311423,GSE311423/GSM9324880_PDC142_gex.h5mu,GSM9324880_PDC142_gex.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Spleen,Healthy/Control,Control
GSE311423/GSM9324882_PDC149_gex,GSM9324882_PDC149_gex,GSE311423,GSE311423/GSM9324882_PDC149_gex.h5mu,GSM9324882_PDC149_gex.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Spleen,Healthy/Control,Control
GSE319044/GSE319044_Lung_aggr,GSE319044_Lung_aggr,GSE319044,GSE319044/GSE319044_Lung_aggr.h5mu,GSE319044_Lung_aggr.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Lung,Healthy/Control,Control
GSE319044/GSE319044_Spleen_aggr,GSE319044_Spleen_aggr,GSE319044,GSE319044/GSE319044_Spleen_aggr.h5mu,GSE319044_Spleen_aggr.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Spleen,Healthy/Control,Control
GSE319044/GSM9508610_Lung-COB-11,GSM9508610_Lung-COB-11,GSE319044,GSE319044/GSM9508610_Lung-COB-11.h5mu,GSM9508610_Lung-COB-11.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Lung,Healthy/Control,Control
GSE319044/GSM9508611_Lung-COB-5,GSM9508611_Lung-COB-5,GSE319044,GSE319044/GSM9508611_Lung-COB-5.h5mu,GSM9508611_Lung-COB-5.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Lung,Healthy/Control,Control
GSE319044/GSM9508612_Lung-COB-6,GSM9508612_Lung-COB-6,GSE319044,GSE319044/GSM9508612_Lung-COB-6.h5mu,GSM9508612_Lung-COB-6.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Lung,Healthy/Control,Control
GSE319044/GSM9508613_Lung-SMO-05,GSM9508613_Lung-SMO-05,GSE319044,GSE319044/GSM9508613_Lung-SMO-05.h5mu,GSM9508613_Lung-SMO-05.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Lung,Healthy/Control,Control
GSE319044/GSM9508614_Lung-SMO-07,GSM9508614_Lung-SMO-07,GSE319044,GSE319044/GSM9508614_Lung-SMO-07.h5mu,GSM9508614_Lung-SMO-07.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Lung,Healthy/Control,Control
GSE319044/GSM9508615_Lung-SMO-08,GSM9508615_Lung-SMO-08,GSE319044,GSE319044/GSM9508615_Lung-SMO-08.h5mu,GSM9508615_Lung-SMO-08.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Lung,Healthy/Control,Control
GSE319044/GSM9508616_Lung-SMO-09,GSM9508616_Lung-SMO-09,GSE319044,GSE319044/GSM9508616_Lung-SMO-09.h5mu,GSM9508616_Lung-SMO-09.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Lung,Healthy/Control,Control
GSE319044/GSM9508617_Lung-SMO-2,GSM9508617_Lung-SMO-2,GSE319044,GSE319044/GSM9508617_Lung-SMO-2.h5mu,GSM9508617_Lung-SMO-2.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Lung,Healthy/Control,Control
GSE319044/GSM9508618_Lung-SMO-3,GSM9508618_Lung-SMO-3,GSE319044,GSE319044/GSM9508618_Lung-SMO-3.h5mu,GSM9508618_Lung-SMO-3.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Lung,Healthy/Control,Control
GSE319044/GSM9508628_Spleen-COB-10,GSM9508628_Spleen-COB-10,GSE319044,GSE319044/GSM9508628_Spleen-COB-10.h5mu,GSM9508628_Spleen-COB-10.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Spleen,Healthy/Control,Control
GSE319044/GSM9508629_Spleen-COB-7,GSM9508629_Spleen-COB-7,GSE319044,GSE319044/GSM9508629_Spleen-COB-7.h5mu,GSM9508629_Spleen-COB-7.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Spleen,Healthy/Control,Control
GSE319044/GSM9508630_Spleen-COB-8,GSM9508630_Spleen-COB-8,GSE319044,GSE319044/GSM9508630_Spleen-COB-8.h5mu,GSM9508630_Spleen-COB-8.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Spleen,Healthy/Control,Control
GSE319044/GSM9508631_Spleen-COB-9,GSM9508631_Spleen-COB-9,GSE319044,GSE319044/GSM9508631_Spleen-COB-9.h5mu,GSM9508631_Spleen-COB-9.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Spleen,Healthy/Control,Control
GSE319044/GSM9508632_Spleen-SMO-04,GSM9508632_Spleen-SMO-04,GSE319044,GSE319044/GSM9508632_Spleen-SMO-04.h5mu,GSM9508632_Spleen-SMO-04.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Spleen,Healthy/Control,Control
GSE319044/GSM9508633_Spleen-SMO-10,GSM9508633_Spleen-SMO-10,GSE319044,GSE319044/GSM9508633_Spleen-SMO-10.h5mu,GSM9508633_Spleen-SMO-10.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Spleen,Healthy/Control,Control
GSE319044/GSM9508634_Spleen-SMO-1,GSM9508634_Spleen-SMO-1,GSE319044,GSE319044/GSM9508634_Spleen-SMO-1.h5mu,GSM9508634_Spleen-SMO-1.h5mu,Homo Sapiens,HG38,model_training,model_training,model_training;control,Tissue,Spleen,Healthy/Control,Control
